"variable","titre","Formulaire
(par défaut BM)","page","type","Représentation 
(par défaut INPUT TEXT)","Taille de champs de saisie (par défaut identique à Représentation)","valeurs autorisées / modalités","Obligatoire (par défaut OUI) ","Non Modifiable
(par défaut NON)","SOMME","DEPENDANCES","Abrégé (A) / Complet (C) / Les deux (AC) (AC par défaut)","initialisation 
(par défaut aucune)","Nom variable n-1 dans ADRESSE08"
"D108","Imprimés – Adultes – Livres imprimés – dont publiés avant 1811 – UM – Acquisitions",,"D","Int",10,,,,,,,"C",,
"D109","Imprimés – Adultes – Livres imprimés – dont publiés entre 1811 et 1914 – UM – Fonds",,"D","Int",10,,,,,,,"C",,
"D110","Imprimés – Adultes – Livres imprimés – dont publiés entre 1811 et 1914 – UM – Acquisitions",,"D","Int",10,,,,,,,"C",,
"D111","Imprimés – Adultes – Publications en série imprimées – UM – Fonds",,"D","Int",10,,,,,,,"C",,
"D112","Imprimés – Adultes – Publications en série imprimées – UM – Acquisitions",,"D","Int",10,,,,,,,"C",,
"D113","Imprimés – Adultes – Publications en série imprimées – UM – Eliminations",,"D","Int",10,,,,,,,"C",,
"D114","Imprimés – Adultes – Publications en série imprimées – dont libre accès – UM – Fonds",,"D","Int",10,,,,,,,"C",,
"D115","Imprimés – Adultes – Publications en série imprimées – dont libre accès – TIT – Fonds",,"D","Int",10,,,,,,,"C",,
"D116","Imprimés – Enfants – Livres imprimés – UM – Fonds",,"D","Int",10,,,,,,,"AC",,
"D117","Imprimés – Enfants – Livres imprimés – UM – Acquisitions",,"D","Int",10,,,,,,,"AC",,
"D118","Imprimés – Enfants – Livres imprimés – UM – Eliminations",,"D","Int",10,,,,,,,"AC",,
"D119","Imprimés – Enfants - Livres imprimés – dont libre accès – UM – Fonds",,"D","Int",10,,,,,,,"C",,
"D120","Imprimés – Enfants – Livres imprimés – dont libre accès – TIT – Fonds",,"D","Int",10,,,,,,,"C",,
"D121","Imprimés – Enfants - Livres imprimés – dont libre accès – TIT – Acquisitions",,"D","Int",10,,,,,,,"C",,
"D122","Imprimés – Enfants – Publications en série imprimées – UM – Fonds",,"D","Int",10,,,,,,,"C",,
"D123","Imprimés – Enfants – Publications en série imprimées – UM – Acquisitions",,"D","Int",10,,,,,,,"C",,
"D124","Imprimés – Enfants – Publications en série imprimées – UM – Eliminations",,"D","Int",10,,,,,,,"C",,
"D125","Imprimés – Enfants – Publications en série imprimées – dont libre accès - UM – Fonds",,"D","Int",10,,,,,,,"C",,
"D126","Imprimés – Enfants – Publications en série imprimées – dont libre accès – TIT – Fonds",,"D","Int",10,,,,,,,"C",,
"D127","Imprimés – Enfants – Publications en série imprimées – dont libre accès – TIT – Acquisitions",,"D","Int",10,,,,,,,"C",,
"D128","Imprimés – Total – Livres imprimés – UM – Fonds",,"D","Int",10,,,,,,,"AC",,
"D129","Imprimés – Total – Livres imprimés – UM – Acquisitions",,"D","Int",10,,,,,,,"AC",,
