"variable","titre","Formulaire
(par défaut BM)","page","type","Représentation 
(par défaut INPUT TEXT)","Taille de champs de saisie (par défaut identique à Représentation)","valeurs autorisées / modalités","Obligatoire (par défaut OUI) ","Non Modifiable
(par défaut NON)","SOMME","DEPENDANCES","Abrégé (A) / Complet (C) / Les deux (AC) (AC par défaut)","initialisation 
(par défaut aucune)","Nom variable n-1 dans ADRESSE08"
"E510",,,"E","Int",10,,,"N",,,"E509","C",,
"E511",,,"E","Boolean","Radio",,"Oui / Non",,,,,"C",,
"E512",,,"E","Int",10,,,"N",,,"E511","C",,
"E513",,,"E","Boolean","Radio",,"Oui / Non",,,,,"C",,
"E514",,,"E","Int",10,,,"N",,,"E513","C",,
"E515",,,"E","Boolean","Radio",,"Oui / Non",,,,,"AC",,
"E516",,,"E","Int",10,,,"N",,,"E515","AC",,
"E517",,,"E","Boolean","Radio",,"Oui / Non","N",,,"E515","C",,
"E518",,,"E","Int",10,,,"N",,,"E517","C",,
"E519",,,"E","Boolean","Radio",,"Oui / Non","N",,,"E515","C",,
"E520",,,"E","Int",10,,,"N",,,"E519","C",,
"E521",,,"E","Boolean","Radio",,"Oui / Non","N",,,"E519","C",,
"E522",,,"E","Int",10,,,"N",,,"E521","C",,
"E523",,,"E","Boolean","Radio",,"Oui / Non","N",,,"E519","C",,
"E524",,,"E","Int",10,,,"N",,,"E523","C",,
"E525",,,"E","Boolean","Radio",,"Oui / Non","N",,,"E519","C",,
"E526",,,"E","Int",10,,,"N",,,"E525","C",,
"E527",,,"E","Boolean","Radio",,"Oui / Non",,,,,"AC",,
"E528",,,"E","Int",10,,,"N",,,"E527","AC",,
"E529",,,"E","Boolean","Radio",,"Oui / Non",,,,,"AC",,
"E530",,,"E","Int",10,,,"N",,,"E529","AC",,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"F101",,,"F","Int",10,,,,,,,"AC",,
"F102",,,"F","Int",10,,,,,,,"C",,
"F103",,,"F","Int",10,,,,,,,"C",,
"F104",,,"F","Int",10,,,,,,,"C",,
"F105",,,"F","Int",10,,,,,,,"C",,
"F106",,,"F","Int",10,,,,,,,"AC",,
"F201",,,"F","Int",10,,,,,,,"AC",,
"F202",,,"F","Int",10,,,,,,,"C",,
"F301",,,"F","Int",10,,,,,,,"AC",,
"F302",,,"F","Int",10,,,,,,,"C",,
"F303",,,"F","Int",10,,,,,,,"AC",,
"F304",,,"F","Int",10,,,,,,,"C",,
"F305",,,"F","Int",10,,,,,,,"AC",,
"F306",,,"F","Int",10,,,,,,,"C",,
"F307",,,"F","Int",10,,,,,,,"AC",,
"F308",,,"F","Int",10,,,,,,,"C",,
"F309",,,"F","Int",10,,,,,,,"C",,
"F310",,,"F","Int",10,,,,,,,"C",,
"F311",,,"F","Int",10,,,,,,,"C",,
"F312",,,"F","Int",10,,,,,,,"C",,
"F313",,,"F","Int",10,,,,,,,"AC",,
"F314",,,"F","Int",10,,,,,,,"A",,
"F401",,,"F","Int",10,,,,,,,"C",,
"F402",,,"F","Int",10,,,,,,,"C",,
"F403",,,"F","Int",10,,,,,,,"C",,
"F501",,,"F","Int",10,,,,,,,"C",,
"F502",,,"F","Int",10,,,,,,,"AC",,
"F503",,,"F","Int",10,,,,,,,"C",,
"F504",,,"F","Int",10,,,,,,,"C",,
"F505",,,"F","Int",10,,,,,,,"C",,
"F506",,,"F","Int",10,,,,,,,"C",,
"F507",,,"F","Int",10,,,,,,,"C",,
"F508",,,"F","Int",10,,,,,,,"AC",,
"F601",,,"F","Int",10,,,,,,,"AC",,
"F602",,,"F","Int",10,,,,,,,"AC",,
"F603",,,"F","Int",10,,,,,,,"AC",,
"F604",,,"F","Int",10,,,,,,,"AC",,
"F605",,,"F","Int",10,,,,,,,"AC",,
,,,,,,,,,,,,,,
"G101",,,"G","Int",10,,,,,,,"AC",,
"G102",,,"G","Dec","5,2",10,,,,,,"AC",,
"G103",,,"G","Int",10,,,,,,,"AC",,
"G104",,,"G","Dec","5,2",10,,,,,,"AC",,
"G105",,,"G","Int",10,,,,,,,"AC",,
"G106",,,"G","Dec","5,2",10,,,,,,"AC",,
"G107",,,"G","Int",10,,,,,,,"AC",,
"G108",,,"G","Dec","5,2",10,,,,,,"AC",,
"G109",,,"G","Int",10,,,,,,,"AC",,
"G110",,,"G","Dec","5,2",10,,,,,,"AC",,
"G111",,,"G","Int",10,,,,,,,"AC",,
"G112",,,"G","Dec","5,2",10,,,,,,"AC",,
"G113",,,"G","Int",10,,,,,,,"AC",,
"G114",,,"G","Int",10,,,,,,,"AC",,
"G115",,,"G","Dec","5,2",10,,,,,,"AC",,
"G116",,,"G","Int",10,,,,,,,"AC",,
"G117",,,"G","Int",10,,,,,,,"AC",,
"G118",,,"G","Dec","5,2",10,,,,,,"AC",,
"G119",,,"G","Int",10,,,,,,,"AC",,
"G120",,,"G","Int",10,,,,,,,"AC",,
"G121",,,"G","Dec","5,2",10,,,,,,"AC",,
"G122",,,"G","Int",10,,,,,,,"AC",,
"G123",,,"G","Int",10,,,,,,,"AC",,
"G124",,,"G","Dec","5,2",10,,,,,,"AC",,
"G125",,,"G","Int",10,,,,,,,"AC",,
"G126",,,"G","Int",10,,,,,,,"AC",,
"G127",,,"G","Dec","5,2",10,,,,,,"AC",,
"G128",,,"G","Int",10,,,,,,,"AC",,
"G129",,,"G","Int",10,,,,,,,"AC",,
"G130",,,"G","Int",10,,,,,,,"AC",,
"G201",,,"G","Int",10,,,,,,,"C",,
"G202",,,"G","Int",10,,,,,,,"C",,
"G203",,,"G","Int",10,,,,,,,"C",,
"G204",,,"G","Int",10,,,,,,,"C",,
"G205",,,"G","Int",10,,,,,,,"C",,
"G206",,,"G","Int",10,,,,,,,"C",,
"G207",,,"G","Int",10,,,,,,,"C",,
"G301",,,"G","Dec","5,2",10,,,,,,"C",,
"G302",,,"G","Dec","5,2",10,,,,,,"AC",,
"G303",,,"G","Dec","5,2",10,,,,,,"C",,
"G304",,,"G","Dec","5,2",10,,,,,,"C",,
"G305",,,"G","Dec","5,2",10,,,,,,"C",,
"G306",,,"G","Dec","5,2",10,,,,,,"C",,
"G307",,,"G","Dec","5,2",10,,,,,,"C",,
"G308",,,"G","Dec","5,2",10,,,,,,"C",,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"H101",,,"H","Boolean","Radio",,"Oui / Non",,,,,"AC",,
"H102",,,"H","Int",10,,,"N",,,"H101","AC",,
"H103",,,"H","Int",10,,,"N",,,"H101","AC",,
"H104",,,"H","Boolean","Radio",,"Oui / Non",,,,,"AC",,
"H105",,,"H","Int",10,,,"N",,,"H104","AC",,
"H106",,,"H","Int",10,,,"N",,,"H104","AC",,
"H107",,,"H","Boolean","Radio",,"Oui / Non",,,,,"AC",,
"H108",,,"H","Int",10,,,"N",,,"H107","AC",,
"H109",,,"H","Int",10,,,"N",,,"H107","AC",,
"H110",,,"H","Boolean","Radio",,"Oui / Non",,,,,"AC",,
"H111",,,"H","Int",10,,,"N",,,"H110","AC",,
"H112",,,"H","Boolean","Radio",,"Oui / Non",,,,,"AC",,
"H113",,,"H","Int",10,,,"N",,,"H112","AC",,
"H114",,,"H","Boolean","Radio",,"Oui / Non",,,,,"AC",,
"H115",,,"H","Int",10,,,"N",,,"H114","AC",,
"H116",,,"H","Boolean","Radio",,"Oui / Non",,,,,"AC",,
"H117",,,"H","Int",10,,,"N",,,"H116","AC",,
"H118",,,"H","Boolean","Radio",,"Oui / Non",,,,,"AC",,
"H119",,,"H","Int",10,,,"N",,,"H118","AC",,
"H120",,,"H","Boolean","Radio",,"Oui / Non",,,,,"AC",,
"H121",,,"H","Int",10,,,"N",,,"H120","AC",,
"H122",,,"H","Boolean","Radio",,"Oui / Non",,,,,"AC",,
"H123",,,"H","Int",10,,,"N",,,"H122","AC",,
"H124",,,"H","Boolean","Radio",,"Oui / Non",,,,,"AC",,
"H125",,,"H","Int",10,,,"N",,,"H124","AC",,
"H126",,,"H","Boolean","Radio",,"Oui / Non",,,,,"AC",,
"H127",,,"H","Int",10,,,"N",,,"H126","AC",,
"H200",,,"H","Boolean","Radio",,"Oui / Non",,,,,"A",,
"H202",,,"H","Boolean","Radio",,"Oui / Non",,,,,"C",,
"H203",,,"H","Int",10,,,"N",,,"H202","C",,
"H204",,,"H","Boolean","Radio",,"Oui / Non",,,,,"C",,
"H205",,,"H","Int",10,,,"N",,,"H204","C",,
"H206",,,"H","Boolean","Radio",,"Oui / Non",,,,,"C",,
"H207",,,"H","Int",10,,,"N",,,"H206","C",,
"H208",,,"H","Boolean","Radio",,"Oui / Non",,,,,"C",,
"H209",,,"H","Int",10,,,"N",,,"H208","C",,
"H210",,,"H","Boolean","Radio",,"Oui / Non",,,,,"C",,
"H211",,,"H","Int",10,,,"N",,,"H210","C",,
"H212",,,"H","Boolean","Radio",,"Oui / Non",,,,,"C",,
"H213",,,"H","Int",10,,,"N",,,"H212","C",,
"H214",,,"H","Boolean","Radio",,"Oui / Non",,,,,"C",,
"H215",,,"H","Int",10,,,"N",,,"H214","C",,
"H216",,,"H","Boolean","Radio",,"Oui / Non",,,,,"C",,
"H217",,,"H","Int",10,,,"N",,,"H216","C",,
"H301",,,"H","Boolean","Radio",,"Oui / Non",,,,,"C",,
"H302",,,"H","Int",10,,,"N",,,"H301","C",,
"H303",,,"H","Int",10,,,"N",,,"H301","C",,
"H304",,,"H","Boolean","Radio",,"Oui / Non","N",,,"H301","C",,
"H305",,,"H","Int",10,,,"N",,,"H304","C",,
"H306",,,"H","Int",10,,,"N",,,"H304","C",,
"H307",,,"H","Boolean","Radio",,"Oui / Non",,,,,"C",,
"H308",,,"H","Int",10,,,"N",,,"H307","C",,
"H309",,,"H","Int",10,,,"N",,,"H307","C",,
"H401",,,"H","Boolean","Radio",,"Oui / Non",,,,,"AC",,
"H402",,,"H","Int",10,,,"N",,,"H401","AC",,
"H403",,,"H","Int",10,,,"N",,,"H401","AC",,
"H404",,,"H","Int",10,,,"N",,,"H401","AC",,
"H405",,,"H","Boolean","Radio",,"Oui / Non",,,,,"AC",,
"H406",,,"H","Int",10,,,"N",,,"H405","AC",,
"H407",,,"H","Int",10,,,"N",,,"H405","AC",,
"H408",,,"H","Int",10,,,"N",,,"H405","AC",,
"H409",,,"H","Boolean","Radio",,"Oui / Non","N",,,"H405","AC",,
"H410",,,"H","Int",10,,,"N",,,"H409","AC",,
"H411",,,"H","Int",10,,,"N",,,"H409","AC",,
"H412",,,"H","Int",10,,,"N",,,"H409","AC",,
"H413",,,"H","Boolean","Radio",,"Oui / Non","N",,,"H405","AC",,
"H414",,,"H","Int",10,,,"N",,,"H413","AC",,
"H415",,,"H","Int",10,,,"N",,,"H413","AC",,
"H416",,,"H","Int",10,,,"N",,,"H413","AC",,
"H417",,,"H","Boolean","Radio",,"Oui / Non","N",,,"H405","AC",,
"H418",,,"H","Int",10,,,"N",,,"H417","AC",,
"H419",,,"H","Int",10,,,"N",,,"H417","AC",,
"H420",,,"H","Boolean","Radio",,"Oui / Non","N",,,"H405","AC",,
"H421",,,"H","Int",10,,,"N",,,"H420","AC",,
"H422",,,"H","Int",10,,,"N",,,"H420","AC",,
"H423",,,"H","Int",10,,,"N",,,"H420","AC",,
"H424",,,"H","Boolean","Radio",,"Oui / Non","N",,,"H405","AC",,
"H425",,,"H","Int",10,,,"N",,,"H424","AC",,
"H426",,,"H","Int",10,,,"N",,,"H424","AC",,
"H427",,,"H","Int",10,,,"N",,,"H424","AC",,
"H428",,,"H","Boolean","Radio",,"Oui / Non","N",,,"H405","AC",,
"H429",,,"H","Int",10,,,"N",,,"H428","AC",,
"H430",,,"H","Int",10,,,"N",,,"H428","AC",,
"H431",,,"H","Int",10,,,"N",,,"H428","AC",,
"H432",,,"H","Boolean","Radio",,"Oui / Non",,,,,"AC",,
"H433",,,"H","Int",10,,,"N",,,"H432","AC",,
"H434",,,"H","Int",10,,,"N",,,"H432","AC",,
"H435",,,"H","Int",10,,,"N",,,"H432","AC",,
"H501",,,"H","Boolean","Radio",,"Oui / Non",,,,,"C",,
"H502",,,"H","Int",10,,,"N",,,"H501","C",,
"H503",,,"H","Int",10,,,"N",,,"H501","C",,
"H504",,,"H","Boolean","Radio",,"Oui / Non",,,,,"C",,
"H505",,,"H","Int",10,,,"N",,,"H504","C",,
"H506",,,"H","Int",10,,,"N",,,"H504","C",,
"H601",,,"H","Boolean","Radio",,"Oui / Non",,,,,"C",,
"H602",,,"H","Int",10,,,"N",,,"H601","C",,
"H603",,,"H","Int",10,,,"N",,,"H601","C",,
"H604",,,"H","Boolean","Radio",,"Oui / Non",,,,,"C",,
"H605",,,"H","Int",10,,,"N",,,"H604","C",,
"H606",,,"H","Int",10,,,"N",,,"H604","C",,
"H607",,,"H","Boolean","Radio",,"Oui / Non",,,,,"C",,
"H608",,,"H","Int",10,,,"N",,,"H607","C",,
"H609",,,"H","Int",10,,,"N",,,"H607","C",,
"H701",,,"H","Boolean","Radio",,"Oui / Non",,,,,"C",,
"H702",,,"H","Int",10,,,"N",,,"H701","C",,
"H703",,,"H","Int",10,,,"N",,,"H701","C",,
"H704",,,"H","Boolean","Radio",,"Oui / Non",,,,,"C",,
"H705",,,"H","Int",10,,,"N",,,"H704","C",,
"H706",,,"H","Int",10,,,"N",,,"H704","C",,
"H707",,,"H","Boolean","Radio",,"Oui / Non",,,,,"C",,
"H708",,,"H","Int",10,,,"N",,,"H707","C",,
"H709",,,"H","Int",10,,,"N",,,"H707","C",,
"H710",,,"H","Boolean","Radio",,"Oui / Non",,,,,"C",,
"H711",,,"H","Int",10,,,"N",,,"H710","C",,
"H712",,,"H","Int",10,,,"N",,,"H710","C",,
"H713",,,"H","Boolean","Radio",,"Oui / Non",,,,,"C",,
"H714",,,"H","Int",10,,,"N",,,"H713","C",,
"H715",,,"H","Int",10,,,"N",,,"H713","C",,
"H716",,,"H","Boolean","Radio",,"Oui / Non",,,,,"C",,
"H717",,,"H","Int",10,,,"N",,,"H716","C",,
"H718",,,"H","Int",10,,,"N",,,"H716","C",,
"H719",,,"H","Boolean","Radio",,"Oui / Non",,,,,"C",,
"H720",,,"H","Int",10,,,"N",,,"H719","C",,
"H721",,,"H","Int",10,,,"N",,,"H719","C",,
"I101","Commentaires",,"I","Text",100,,,"N",,,,"AC",,
