"Variable","Titre","Formulaire (par défaut BM)","page","type","Représentation (par défaut INPUT TEXT)","Taille de champs de saisie (par défaut identique à Représentation)","valeurs autorisées / modalités","Obligatoire (par défaut OUI)","Non Modifiable (par défaut NON)","SOMME","DEPENDANCES","Abrégé (A) / Complet (C) / Les deux (AC) (AC par défaut)","initialisation  (par défaut aucune)","Nom variable n-1 dans ADRESSE09"
"G13W",,"BDP","G","Int",10,,,,,,,,,
"G13X",,"BDP","G","Int",10,,,,,,,,,
"G13Y",,"BDP","G","Int",10,,,,,,,,,
"G13Z",,"BDP","G","Int",10,,,,,,,,,
"G14V",,"BDP","G","Int",10,,,,,,,,,
"G14W",,"BDP","G","Int",10,,,,,,,,,
"G14X",,"BDP","G","Int",10,,,,,,,,,
"G14Y",,"BDP","G","Int",10,,,,,,,,,
"G14Z",,"BDP","G","Int",10,,,,,,,,,
"G15V",,"BDP","G","Int",10,,,,,,,,,
"G15W",,"BDP","G","Int",10,,,,,,,,,
"G15X",,"BDP","G","Int",10,,,,,,,,,
"G15Y",,"BDP","G","Int",10,,,,,,,,,
"G15Z",,"BDP","G","Int",10,,,,,,,,,
"G16V",,"BDP","G","Int",10,,,,,,,,,
"G16W",,"BDP","G","Int",10,,,,,,,,,
"G16X",,"BDP","G","Int",10,,,,,,,,,
"G16Y",,"BDP","G","Int",10,,,,,,,,,
"G16Z",,"BDP","G","Int",10,,,,,,,,,
"G17V",,"BDP","G","Int",10,,,,,,,,,
"G17W",,"BDP","G","Int",10,,,,,,,,,
"G17X",,"BDP","G","Int",10,,,,,,,,,
"G17Y",,"BDP","G","Int",10,,,,,,,,,
"G17Z",,"BDP","G","Int",10,,,,,,,,,
"G18V",,"BDP","G","Int",10,,,,,,,,,
"G18W",,"BDP","G","Int",10,,,,,,,,,
"G18X",,"BDP","G","Int",10,,,,,,,,,
"G18Y",,"BDP","G","Int",10,,,,,,,,,
"G18Z",,"BDP","G","Int",10,,,,,,,,,
"G19V",,"BDP","G","Int",10,,,,,,,,,
"G19W",,"BDP","G","Int",10,,,,,,,,,
"G19X",,"BDP","G","Int",10,,,,,,,,,
"G19Y",,"BDP","G","Int",10,,,,,,,,,
"G19Z",,"BDP","G","Int",10,,,,,,,,,
"G20V",,"BDP","G","Int",10,,,,,,,,,
"G20W",,"BDP","G","Int",10,,,,,,,,,
"G20X",,"BDP","G","Int",10,,,,,,,,,
"G20Y",,"BDP","G","Int",10,,,,,,,,,
"G20Z",,"BDP","G","Int",10,,,,,,,,,
"G21V",,"BDP","G","Int",10,,,,,,,,,
"G21W",,"BDP","G","Int",10,,,,,,,,,
"G21X",,"BDP","G","Int",10,,,,,,,,,
"G21Y",,"BDP","G","Int",10,,,,,,,,,
"G21Z",,"BDP","G","Int",10,,,,,,,,,
"G22V",,"BDP","G","Int",10,,,,,"G11V+G12V+G13V+G14V+G15V+G16V+G17V+G18V+G19V+G20V+G21V",,,,
"G22W",,"BDP","G","Int",10,,,,,"G11W+G12W+G13W+G14W+G15W+G16W+G17W+G18W+G19W+G20W+G21W",,,,
"G22X",,"BDP","G","Int",10,,,,,"G11X+G12X+G13X+G14X+G15X+G16X+G17X+G18X+G19X+G20X+G21X",,,,
"G22Y",,"BDP","G","Int",10,,,,,"G11Y+G12Y+G13Y+G14Y+G15Y+G16Y+G17Y+G18Y+G19Y+G20Y+G21Y",,,,
"G22Z",,"BDP","G","Int",10,,,,,"G11Z+G12Z+G13Z+G14Z+G15Z+G16Z+G17Z+G18Z+G19Z+G20Z+G21Z",,,,
"G31X",,"BDP","G","Int",10,,,,,,,,,
"G31Y",,"BDP","G","Int",10,,,,,,,,,
"G31Z",,"BDP","G","Int",10,,,,,,,,,
"G32X",,"BDP","G","Int",10,,,,,,,,,
"G32Y",,"BDP","G","Int",10,,,,,,,,,
"G32Z",,"BDP","G","Int",10,,,,,,,,,
"G33X",,"BDP","G","Int",10,,,,,,,,,
"G33Y",,"BDP","G","Int",10,,,,,,,,,
"G33Z",,"BDP","G","Int",10,,,,,,,,,
"G34X",,"BDP","G","Int",10,,,,,,,,,
"G34Y",,"BDP","G","Int",10,,,,,,,,,
"G34Z",,"BDP","G","Int",10,,,,,,,,,
"G35X",,"BDP","G","Int",10,,,,,,,,,
"G35Y",,"BDP","G","Int",10,,,,,,,,,
"G35Z",,"BDP","G","Int",10,,,,,,,,,
"G36X",,"BDP","G","Int",10,,,,,,,,,
"G36Y",,"BDP","G","Int",10,,,,,,,,,
"G36Z",,"BDP","G","Int",10,,,,,,,,,
"G37X",,"BDP","G","Int",10,,,,,,,,,
"G37Y",,"BDP","G","Int",10,,,,,,,,,
"G37Z",,"BDP","G","Int",10,,,,,,,,,
"G38X",,"BDP","G","Int",10,,,,,,,,,
"G38Y",,"BDP","G","Int",10,,,,,,,,,
"G38Z",,"BDP","G","Int",10,,,,,,,,,
"G39X",,"BDP","G","Int",10,,,,,,,,,
"G39Y",,"BDP","G","Int",10,,,,,,,,,
"G39Z",,"BDP","G","Int",10,,,,,,,,,
"G40X",,"BDP","G","Int",10,,,,,,,,,
"G40Y",,"BDP","G","Int",10,,,,,,,,,
"G40Z",,"BDP","G","Int",10,,,,,,,,,
"G41X",,"BDP","G","Int",10,,,,,,,,,
"G41Y",,"BDP","G","Int",10,,,,,,,,,
"G41Z",,"BDP","G","Int",10,,,,,,,,,
"G42X",,"BDP","G","Int",10,,,,,"G31X+G32X+G33X+G34X+G35X+G36X+G37X+G38X+G39X+G40X+G41X",,,,
"G42Y",,"BDP","G","Int",10,,,,,"G31Y+G32Y+G33Y+G34Y+G35Y+G36Y+G37Y+G38Y+G39Y+G40Y+G41Y",,,,
"G42Z",,"BDP","G","Int",10,,,,,"G31Z+G32Z+G33Z+G34Z+G35Z+G36Z+G37Z+G38Z+G39Z+G40Z+G41Z",,,,
"H11",,"BDP","H","Boolean","Radio",,,,,,,,,
"H12",,"BDP","H","Boolean","Radio",,,,,,"H11",,,
"H13",,"BDP","H","Boolean","Radio",,,,,,"H11",,,
"H14",,"BDP","H","Boolean","Radio",,,,,,"H11",,,
"H15",,"BDP","H","Boolean","Radio",,,,,,"H11",,,
"H16",,"BDP","H","Boolean","Radio",,,,,,"H11",,,
"H17",,"BDP","H","Int",10,,,,,,"H11",,,
"H18",,"BDP","H","Int",10,,,,,,"H11",,,
"H19",,"BDP","H","Str",60,,,,,,"H11 H16",,,
"H21",,"BDP","H","Boolean","Radio",,,,,,,,,
"H22",,"BDP","H","Int",10,,,,,,"H21",,,
"H23",,"BDP","H","Boolean","Radio",,,,,,,,,
"H24",,"BDP","H","Str",60,,,,,,"H23",,,
"H25",,"BDP","H","Boolean","Radio",,,,,,,,,
"H26",,"BDP","H","Str",60,,,,,,"H25",,,
"H27",,"BDP","H","Boolean","Radio",,,,,,,,,
"H28",,"BDP","H","Boolean","Radio",,,,,,"H27",,,
"H29",,"BDP","H","Boolean","Radio",,,,,,"H27",,,
"H30",,"BDP","H","Str",60,,,,,,,,,
"H31V",,"BDP","H","Boolean","Radio",,,,,,,,,
"H31W",,"BDP","H","Int",10,,,,,,"H31V",,,
"H31X",,"BDP","H","Int",10,,,,,,"H31V",,,
"H31Y",,"BDP","H","Int",10,,,,,,"H31V",,,
"H31Z",,"BDP","H","Int",10,,,,,,"H31V",,,
"H32V",,"BDP","H","Boolean","Radio",,,,,,,,,
"H32W",,"BDP","H","Int",10,,,,,,"H32V",,,
"H32X",,"BDP","H","Int",10,,,,,,"H32V",,,
"H32Y",,"BDP","H","Int",10,,,,,,"H32V",,,
"H32Z",,"BDP","H","Int",10,,,,,,"H32V",,,
"H33V",,"BDP","H","Boolean","Radio",,,,,,,,,
"H33W",,"BDP","H","Int",10,,,,,,"H33V",,,
"H33X",,"BDP","H","Int",10,,,,,,"H33V",,,
"H33Y",,"BDP","H","Int",10,,,,,,"H33V",,,
"H33Z",,"BDP","H","Int",10,,,,,,"H33V",,,
"H34V",,"BDP","H","Boolean","Radio",,,,,,,,,
"H34W",,"BDP","H","Int",10,,,,,,"H34V",,,
"H34X",,"BDP","H","Int",10,,,,,,"H34V",,,
"H34Y",,"BDP","H","Int",10,,,,,,"H34V",,,
"H34Z",,"BDP","H","Int",10,,,,,,"H34V",,,
"H35V",,"BDP","H","Boolean","Radio",,,,,,,,,
"H35W",,"BDP","H","Int",10,,,,,,"H35V",,,
"H35X",,"BDP","H","Int",10,,,,,,"H35V",,,
"H35Y",,"BDP","H","Int",10,,,,,,"H35V",,,
"H35Z",,"BDP","H","Int",10,,,,,,"H35V",,,
"H36V",,"BDP","H","Boolean","Radio",,,,,,,,,
"H36W",,"BDP","H","Int",10,,,,,,"H36V",,,
"H36X",,"BDP","H","Int",10,,,,,,"H36V",,,
"H36Y",,"BDP","H","Int",10,,,,,,"H36V",,,
"H36Z",,"BDP","H","Int",10,,,,,,"H36V",,,
"H37V",,"BDP","H","Boolean","Radio",,,,,,,,,
"H37W",,"BDP","H","Int",10,,,,,,"H37V",,,
"H37X",,"BDP","H","Int",10,,,,,,"H37V",,,
"H37Y",,"BDP","H","Int",10,,,,,,"H37V",,,
"H37Z",,"BDP","H","Int",10,,,,,,"H37V",,,
"H38V",,"BDP","H","Boolean","Radio",,,,,,,,,
"H38W",,"BDP","H","Int",10,,,,,,"H38V",,,
"H38X",,"BDP","H","Int",10,,,,,,"H38V",,,
"H38Y",,"BDP","H","Int",10,,,,,,"H38V",,,
"H38Z",,"BDP","H","Int",10,,,,,,"H38V",,,
"H39V",,"BDP","H","Boolean","Radio",,,,,,,,,
"H39W",,"BDP","H","Int",10,,,,,,"H39V",,,
"H39X",,"BDP","H","Int",10,,,,,,"H39V",,,
"H39Y",,"BDP","H","Int",10,,,,,,"H39V",,,
"H39Z",,"BDP","H","Int",10,,,,,,"H39V",,,
"H41X",,"BDP","H","Boolean","Radio",,,,,,,,,
"H41Y",,"BDP","H","Int",10,,,,,,"H41X",,,
"H41Z",,"BDP","H","Int",10,,,,,,"H41X",,,
"H42X",,"BDP","H","Boolean","Radio",,,,,,,,,
"H42Y",,"BDP","H","Int",10,,,,,,"H42X",,,
"H42Z",,"BDP","H","Int",10,,,,,,"H42X",,,
"H43X",,"BDP","H","Boolean","Radio",,,,,,,,,
"H43Y",,"BDP","H","Int",10,,,,,,"H43X",,,
"H43Z",,"BDP","H","Int",10,,,,,,"H43X",,,
"H44X",,"BDP","H","Boolean","Radio",,,,,,,,,
"H44Y",,"BDP","H","Int",10,,,,,,"H44X",,,
"H44Z",,"BDP","H","Int",10,,,,,,"H44X",,,
"H45X",,"BDP","H","Boolean","Radio",,,,,,,,,
"H45Y",,"BDP","H","Int",10,,,,,,"H45X",,,
"H45Z",,"BDP","H","Int",10,,,,,,"H45X",,,
"H46X",,"BDP","H","Boolean","Radio",,,,,,,,,
"H46Y",,"BDP","H","Int",10,,,,,,"H46X",,,
"H46Z",,"BDP","H","Int",10,,,,,,"H46X",,,
"H47X",,"BDP","H","Boolean","Radio",,,,,,,,,
"H47Y",,"BDP","H","Int",10,,,,,,"H47X",,,
"H47Z",,"BDP","H","Int",10,,,,,,"H47X",,,
"H48X",,"BDP","H","Boolean","Radio",,,,,,,,,
"H48Y",,"BDP","H","Int",10,,,,,,"H48X",,,
"H48Z",,"BDP","H","Int",10,,,,,,"H48X",,,
"H49X",,"BDP","H","Boolean","Radio",,,,,,,,,
"H49Y",,"BDP","H","Int",10,,,,,,"H49X",,,
"H49Z",,"BDP","H","Int",10,,,,,,"H49X",,,
"H51",,"BDP","H","Boolean","Radio",,,,,,,,,
"H52",,"BDP","H","Int",10,,,,,,"H51",,,
"H53",,"BDP","H","Int",10,,,,,,"H51",,,
"H54",,"BDP","H","Boolean","Radio",,,,,,,,,
"H55",,"BDP","H","Boolean","Radio",,,,,,,,,
"H56",,"BDP","H","Int",10,,,,,,"H55",,,
"H57",,"BDP","H","Int",10,,,,,,"H55",,,
"H58",,"BDP","H","Boolean","Radio",,,,,,,,,
"H59",,"BDP","H","Boolean","Radio",,,,,,,,,
"H60",,"BDP","H","Boolean","Radio",,,,,,,,,
"H61",,"BDP","H","Boolean","Radio",,,,,,,,,
"H62",,"BDP","H","Boolean","Radio",,,,,,,,,
"H63",,"BDP","H","Boolean","Radio",,,,,,,,,
"H64",,"BDP","H","Int",10,,,,,,,,,
"H65Y",,"BDP","H","Int",10,,,,,,,,,
"H65Z",,"BDP","H","Int",10,,,,,,,,,
"H66Y",,"BDP","H","Int",10,,,,,,,,,
"H66Z",,"BDP","H","Int",10,,,,,,,,,
"H67Y",,"BDP","H","Int",10,,,,,,,,,
"H67Z",,"BDP","H","Int",10,,,,,,,,,
"H68Y",,"BDP","H","Int",10,,,,,,,,,
"H68Z",,"BDP","H","Int",10,,,,,,,,,
"H69Y",,"BDP","H","Int",10,,,,,"H65Y+H66Y+H67Y+H68Y",,,,
"H69Z",,"BDP","H","Int",10,,,,,"H65Z+H66Z+H67Z+H68Z",,,,
"H70",,"BDP","H","Boolean","Radio",,,,,,,,,
"H71",,"BDP","H","Int",10,,,,,,"H70",,,
"H72",,"BDP","H","Boolean","Radio",,,,,,,,,
"H73",,"BDP","H","Int",10,,,,,,"H72",,,
"H74",,"BDP","H","Str",60,,,,,,"H63",,,
"H75",,"BDP","H","Boolean","Radio",,,,,,,,,
"H76",,"BDP","H","Str",10,,,,,,"H75",,,
"H77V",,"BDP","H","Boolean","Radio",,,,,,,,,
"H77W",,"BDP","H","Int",10,,,,,,"H77V",,,
"H77X",,"BDP","H","Int",10,,,,,,"H77V",,,
"H77Y",,"BDP","H","Int",10,,,,,,"H77V",,,
"H77Z",,"BDP","H","Int",10,,,,,,"H77V",,,
"H78V",,"BDP","H","Boolean","Radio",,,,,,,,,
"H78W",,"BDP","H","Int",10,,,,,,"H78V",,,
"H78X",,"BDP","H","Int",10,,,,,,"H78V",,,
"H78Y",,"BDP","H","Int",10,,,,,,"H78V",,,
"H78Z",,"BDP","H","Int",10,,,,,,"H78V",,,
"H79X",,"BDP","H","Boolean","Radio",,,,,,,,,
"H79Y",,"BDP","H","Int",10,,,,,,"H79X",,,
"H79Z",,"BDP","H","Int",10,,,,,,"H79X",,,
"I11",,"BDP","I","Boolean","Radio",,,,,,,,,
"I12",,"BDP","I","Int",10,,,,,,"I11",,,
"I13",,"BDP","I","Int",10,,,,,,"I11",,,
"I14",,"BDP","I","Int",10,,,,,,"I11",,,
"I15",,"BDP","I","Int",10,,,,,,"I11",,,
"I16",,"BDP","I","Int",10,,,,,,"I11",,,
"I17",,"BDP","I","Int",10,,,,,,"I11",,,
"I18",,"BDP","I","Int",10,,,,,,"I11",,,
"I19",,"BDP","I","Int",10,,,,,,"I11",,,
"I20",,"BDP","I","Int",10,,,,,,"I11",,,
"I21",,"BDP","I","Boolean","Radio",,,,,,,,,
"I22",,"BDP","I","Int",10,,,,,,"I21",,,
"I23",,"BDP","I","Int",10,,,,,,"I21",,,
"I24",,"BDP","I","Int",10,,,,,,"I21",,,
"I25",,"BDP","I","Int",10,,,,,,"I21",,,
"I26",,"BDP","I","Int",10,,,,,,"I21",,,
"I27",,"BDP","I","Int",10,,,,,,"I21",,,
"I28",,"BDP","I","Int",10,,,,,,"I21",,,
"I29",,"BDP","I","Int",10,,,,,,"I11",,,
"I31",,"BDP","I","Int",10,,,,,,,,,
"I32Z",,"BDP","I","Int",10,,,,,,,,,
"I33Z",,"BDP","I","Int",10,,,,,,,,,
"I34Z",,"BDP","I","Int",10,,,,,"I32Z+I33Z",,,,
"L20","Commentaires","BDP","L","Text",100,,,,,,,,,
